Source,Year,Authors,Title,Methodology,Fairness Metrics,Datasets Used,Key Findings,Gap / Limitation
IEEE Conference,2025,"Z. Ahmed, S. Khan, M. Ali",Mitigating Bias in AI Model Using Explainable AI in Terms of Hiring Process,XAI + bias mitigation pipeline,"Demographic Parity, Equalized Odds",Single hiring dataset,XAI improves transparency in bias detection,Single dataset only; no cross-dataset validation
IEEE Conference,2025,"R. Patel, L. Chen, A. Kumar",Ethical Challenges and Bias in Real-World AI: A Fairness-Oriented Approach to Resume Screening,Fairness-oriented classification,"Disparate Impact, Equal Opportunity",Resume screening corpus,Fairness constraints improve equity with modest accuracy loss,Limited to resume text; no reweighting approach
DLA Piper Report,2025,DLA Piper,Landmark AI Framework Sets New Standard for Tackling Algorithmic Bias,Governance framework,N/A (policy),N/A,Legal standards for algorithmic auditing,No technical implementation provided
Reuters Report,2018,J. Dastin,Amazon Scraps Secret AI Recruiting Tool That Showed Bias Against Women,Investigative journalism,N/A,Amazon internal hiring data,Training on biased historical data causes gender discrimination,Descriptive case study; no mitigation solution
Textbook,2019,"S. Barocas, M. Hardt, A. Narayanan","Fairness and Machine Learning: Limitations and Opportunities",Theoretical framework,"Demographic Parity, Equalized Odds, Calibration, Individual Fairness",Synthetic examples,Multiple fairness criteria are often mutually incompatible,Theoretical; limited empirical validation
ACM Survey,2021,"N. Mehrabi, F. Morstatter, N. Saxena, K. Lerman, A. Galstyan",A Survey on Bias and Fairness in Machine Learning,"Pre-processing, in-processing, post-processing taxonomy","Multiple (survey of 20+)",Multiple benchmark datasets,Comprehensive taxonomy of bias sources and mitigation strategies,Survey paper; no new empirical results
IBM Journal,2019,R. K. E. Bellamy et al.,AI Fairness 360: An Extensible Toolkit for Detecting and Mitigating Algorithmic Bias,Toolkit implementation (AIF360),"Disparate Impact, Statistical Parity, Equal Opportunity","COMPAS, German Credit, Adult Census",Reweighting and other pre-processing techniques effective,Python-only; no R implementation
Big Data Journal,2017,A. Chouldechova,Fair Prediction with Disparate Impact: A Study of Bias in Recidivism Prediction Instruments,Mathematical proof,"Calibration, FPR balance, FNR balance",COMPAS recidivism,Calibration and error rate balance cannot hold simultaneously (impossibility),Theoretical result; does not propose mitigation
JMLR,2018,"S. Corbett-Davies, S. Goel",The Measure and Mismeasure of Fairness: A Critical Review of Fair Machine Learning,Critical review + cost-sensitive framework,Multiple fairness criteria,Multiple,Argues for context-specific fairness metric selection,No single recommended approach
KAIS Journal,2012,"F. Kamiran, T. Calders",Data Preprocessing Techniques for Classification Without Discrimination,Reweighting + massaging + sampling,"Discrimination score, Disparate Impact","Adult Census, Dutch Census",Reweighting is effective and model-agnostic pre-processing,Tested on census data only; not hiring-specific
ITCS Conference,2012,"C. Dwork, M. Hardt, T. Pitassi, O. Reingold, R. Zemel",Fairness Through Awareness,Individual fairness framework,Individual fairness (Lipschitz condition),Synthetic examples,Similar individuals should receive similar outcomes,Requires distance metric definition; hard to operationalize
FAT* Conference,2019,"S. A. Friedler, C. Scheidegger, S. Venkatasubramanian et al.",A Comparative Study of Fairness-Enhancing Interventions in Machine Learning,Benchmark of interventions,"Multiple (Demographic Parity, Equalized Odds, Calibration)","COMPAS, Adult, German Credit",No single intervention dominates across all metrics and datasets,Limited to tabular data; no hiring-specific datasets
